strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
A_Bollinger Band Reversion,XRP_USDT,1037,784.1,64.2,0.216,0.025,0.066,-14.37,1.05,A_Original
B_MTF SMA-200 Filter,ETH_USDT,3614,1317.6,24.3,0.211,0.092,0.067,-21.47,1.03,B_New
B_MTF SMA-200 Filter,SOL_USDT,2409,1013.16,25.1,0.205,0.093,0.086,-19.86,1.02,B_New
B_Volatility Breakout (TTM Squeeze),SHIB_USDT,336,437.67,42.9,0.202,0.03,0.087,-9.96,1.07,B_New
B_OFI Momentum,BTC_USDT,2555,738.94,40.0,0.188,0.062,0.043,-19.02,1.03,B_New
B_Volatility Breakout (TTM Squeeze),TRX_USDT,340,487.19,41.2,0.182,0.024,0.07,-8.71,1.08,B_New
B_Elliott Wave + Base ML,ICP_USDT,467,563.33,54.4,0.175,0.023,0.074,-14.96,1.04,B_New
B_OFI Momentum,ADA_USDT,2427,804.79,43.4,0.172,0.052,0.055,-17.63,1.02,B_New
B_MTF SMA-200 Filter,ICP_USDT,2141,655.31,23.7,0.17,0.084,0.052,-24.84,1.02,B_New
B_MTF SMA-200 Filter,ADA_USDT,3429,970.74,23.4,0.169,0.078,0.071,-16.41,1.02,B_New
A_Bollinger Band Reversion,LINK_USDT,963,621.77,63.1,0.168,0.021,0.067,-12.47,1.03,A_Original
A_Bollinger Band Reversion,ADA_USDT,1084,605.5,63.0,0.165,0.02,0.104,-7.05,1.03,A_Original
B_GARCH Volatility Position Sizing,ATOM_USDT,793,676.96,48.8,0.159,0.03,0.033,-28.62,1.03,B_New
A_RSI Mean Reversion,UNI_USDT,90,211.81,50.0,0.155,0.01,0.073,-5.1,1.11,A_Original
B_MACD Centerline Cross + Divergence,AVAX_USDT,2264,394.33,50.4,0.134,0.047,0.053,-13.16,1.01,B_New
B_MTF SMA-200 Filter,AVAX_USDT,2390,507.59,23.7,0.134,0.065,0.046,-19.43,1.01,B_New
A_RSI Mean Reversion,APT_USDT,54,111.15,59.3,0.132,0.007,0.037,-8.47,1.07,A_Original
B_OFI Momentum,DOT_USDT,1684,355.58,43.1,0.12,0.037,0.042,-14.77,1.01,B_New
A_Ensemble A (RSI+MACD+BB),ICP_USDT,2547,294.95,37.5,0.119,0.057,0.04,-14.65,1.01,A_Original
B_MTF SMA-200 Filter,DOT_USDT,2301,398.26,26.4,0.119,0.057,0.05,-13.7,1.01,B_New
B_MTF SMA-200 Filter,LINK_USDT,3106,490.91,24.7,0.115,0.054,0.032,-20.32,1.01,B_New
A_Bollinger Band Reversion,DOGE_USDT,896,340.37,64.2,0.111,0.011,0.039,-12.55,1.02,A_Original
B_GARCH Volatility Position Sizing,DOT_USDT,627,320.82,48.3,0.108,0.02,0.022,-24.98,1.02,B_New
B_Ichimoku Cloud,TRX_USDT,1578,414.43,36.8,0.106,0.035,0.023,-22.25,1.01,B_New
B_OFI Momentum,XRP_USDT,2445,384.33,42.5,0.104,0.032,0.029,-16.08,1.01,B_New
B_Futures Short RF Model,LINK_USDT,112,181.68,47.3,0.097,0.007,0.026,-9.65,1.06,B_New
B_Keltner Channel Breakout,BTC_USDT,1149,289.92,45.2,0.089,0.018,0.019,-17.09,1.01,B_New
B_Keltner Channel Breakout,TRX_USDT,1105,271.15,41.8,0.086,0.02,0.025,-13.8,1.01,B_New
B_Donchian Breakout,ETH_USDT,539,256.04,46.8,0.081,0.01,0.025,-11.76,1.02,B_New
B_Volatility Breakout (TTM Squeeze),BTC_USDT,546,189.32,39.4,0.079,0.011,0.017,-12.59,1.02,B_New
A_RSI Mean Reversion,SOL_USDT,99,101.08,49.5,0.076,0.005,0.028,-6.36,1.04,A_Original
